ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE
1480364,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Gwiazdy spadają w sierpniu. Prem. 2006,,13694,Teatr 2xU/Usta Usta,Reż. Marcin Liber,,,
1480365,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Śmierć Człowieka-Wiewiórki. Prem. 2006,,13694,Teatr 2xU/Usta Usta,Reż. Marcin Liber,,,
1480379,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Zawróceni. Prem. 2006,,2145,Teatr 38,Reż. Maria Iljuczonek,,,
1480380,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Zwykłe potrzeby. Prem. 2006,,13714,"Teatr ""A Part""",Sc. i reż. Marcin Herich,,,
1480381,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Słów inne poczęcie. Prem. 2006,,13454,Teatr-3,"Sc. Arkadiusz Buszko. Reż. Arkadiusz Buszko, Piotr Ratajczak",,,
1480382,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Lament malinowy. Prem. 2006,,11694,Teatr Academia,Reż. Roman Woźniak,,,
1480399,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Świetliste oczekiwanie. Prem. 2006,,1741,Teatr Adekwatny,"Sc. Magda Teresa Wójcik, Mikołaj Hertel. Reż. Magda Teresa Wójcik",,spektakl złożony z wierszy i fragmentów dziennika Jana Lechonia,
1480400,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Ogród rozkoszy. Prem. 2006,,11714,Teatr Akt,Reż. Hieronim Gardener,,,
1480401,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Brzydkie kaczątko. Prem. 2006,,2343,Teatr Animacji (do 1990: Poznański Teatr Lalki i Aktora),Oprac. tekstu Kazimiera Jeżewska. Reż. Czesław Sieńko,,,
1480402,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",O Rycerzu Pryszczycerzu. Prem. 2006,,2343,Teatr Animacji (do 1990: Poznański Teatr Lalki i Aktora),Reż. Janusz Ryl-Krystianowski,,,
1480403,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Pozytywka. Prem. 2006,,2343,Teatr Animacji (do 1990: Poznański Teatr Lalki i Aktora),Tł. Alicja Rybalko. Reż. Janusz Ryl-Krystianowski,,,
1480404,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Wiewiórka. Prem. 2006,,2343,Teatr Animacji (do 1990: Poznański Teatr Lalki i Aktora),Oprac. tekstu i reż. Marcin Jarnuszkiewicz,,,
1480419,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",20 najśmieszniejszych piosenek na świecie. Prem. 2006,,4907,Teatr Atelier im. Agnieszki Osieckiej (do 1996: Teatr Atelier),Sc. i reż. Jerzy Satanowski,,,
1480420,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Para nasycona. Prem. 2006,,4907,Teatr Atelier im. Agnieszki Osieckiej (do 1996: Teatr Atelier),Sc. i reż. Jerzy Satanowski,,wieczór piosenek Jana Wołka,
1480421,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Shir hanoded (Pieśń wędrowca). Prem. 2006,,4907,Teatr Atelier im. Agnieszki Osieckiej (do 1996: Teatr Atelier),,,wieczór złożony z utworów należących do kanonu tradycyjnej muzyki żydowskiej,
